Date,balance_yes,balance_no
2009-05-08,926.7647058823529,600.8463444857497
2009-05-07,766.2272727272727,772.3400236127509
2009-05-06,2021.0,657.6486486486486
2009-05-05,1181.28125,720.172619047619
2009-05-04,2178.621212121212,1908.7657142857142
2009-04-30,1633.1776315789473,2029.3468208092486
2009-04-29,2120.125,2398.714285714286
2009-04-28,2125.0,2609.6923076923076
2009-04-27,1732.0714285714287,1823.88
2009-04-26,1095.875,1626.7272727272727
2009-04-24,1411.1666666666667,309.3333333333333
2009-04-23,1966.590909090909,1049.8947368421052
2009-04-22,1666.52,1562.64
2009-04-21,3630.296296296296,1714.2
2009-04-20,1127.1346153846155,1379.6786941580756
2009-04-19,1839.75,1784.2
2009-04-17,1129.1081081081081,1037.0053956834533
2009-04-16,1181.5333333333333,1345.236220472441
2009-04-15,1635.7407407407406,1967.567901234568
2009-04-14,1554.96,2016.2794117647059
2009-04-13,1323.2727272727273,1646.732142857143
2009-04-12,3008.0,2484.0
2009-04-09,1308.7692307692307,1459.4109589041095
2009-04-08,2921.714285714286,1526.6951219512196
2009-04-07,1657.0,1695.871794871795
2009-04-06,3011.4,1924.7543859649122
2009-04-05,1503.1666666666667,4863.714285714285
2009-04-03,2382.2,1250.280701754386
2009-04-02,1814.1666666666667,1109.1363636363637
2009-04-01,7713.2307692307695,2249.5
2009-03-31,1482.6666666666667,2503.875
2009-03-30,2487.6666666666665,3137.5333333333333
2009-03-29,874.0,2034.2
2009-03-27,2039.4166666666667,839.2
2009-03-26,1531.0,2002.0588235294117
2009-03-25,2560.0,2359.5
2009-03-24,3146.0,616.8571428571429
2009-03-23,3062.0,1454.6
2009-03-22,2693.714285714286,4124.5
2009-03-20,0.0,5916.0
2009-03-19,1088.5,9329.0
2009-03-18,1961.142857142857,1199.4285714285713
2009-03-17,524.6666666666666,1838.5
2009-03-16,2200.5,4111.857142857143
2009-03-15,6154.142857142857,2736.5454545454545
2009-03-13,989.0,2772.0
2009-03-12,1432.5714285714287,1600.142857142857
2009-03-11,2120.0,1866.5384615384614
2009-03-10,2035.3076923076924,1687.142857142857
2009-03-09,1454.2777777777778,1348.75
2009-03-08,1483.375,1507.1666666666667
2009-03-06,911.6,598.0
2009-03-05,2418.714285714286,1774.0
2009-03-04,1143.875,2040.857142857143
2009-03-03,1780.65,1716.111111111111
2009-03-02,2592.24,1202.3478260869565
2009-03-01,0.0,39.5
2009-02-27,2301.470588235294,1585.2105263157894
2009-02-26,1399.8,1440.2380952380952
2009-02-25,2264.375,3967.8571428571427
2009-02-24,2556.375,1745.2
2009-02-23,1014.0,2087.6666666666665
2009-02-22,972.5,2583.0
2009-02-21,0.0,622.0
2009-02-19,881.7,3702.25
2009-02-18,3142.16,1687.3636363636363
2009-02-17,1543.15,1984.888888888889
2009-02-16,2009.111111111111,1492.5
2009-02-15,4133.9375,2350.3333333333335
2009-02-13,2687.2,1606.6666666666667
2009-02-12,4577.428571428572,1607.2222222222222
2009-02-11,1818.8666666666666,6469.294117647059
2009-02-10,1553.7727272727273,2729.470588235294
2009-02-09,1456.3333333333333,1032.4810810810811
2009-02-08,1227.0,1549.4166666666667
2009-02-06,1781.1875,989.2755555555556
2009-02-05,1289.939393939394,1168.4596577017114
2009-02-04,1396.8666666666666,966.055023923445
2009-02-03,1276.404761904762,1504.6788079470198
2009-02-02,2110.7894736842104,907.4530271398747
2009-02-01,2781.3333333333335,732.6666666666666
2009-01-30,442.8333333333333,949.2457627118644
2009-01-29,1772.2380952380952,770.9343339587242
2009-01-28,1420.4516129032259,832.590570719603
2009-01-27,1083.2727272727273,919.8181818181819
2009-01-26,2343.6666666666665,1193.875
2009-01-25,2765.3333333333335,2563.0833333333335
2009-01-22,0.0,460.0
2009-01-18,1930.6666666666667,1130.3333333333333
2009-01-15,2642.714285714286,823.4285714285714
2009-01-14,1098.6153846153845,1826.2
2009-01-13,1520.4444444444443,2871.4444444444443
2009-01-12,2122.3846153846152,1173.0
2009-01-11,1781.4285714285713,1711.2
2009-01-08,1819.0,208.33333333333334
2009-01-07,891.0,262.3333333333333
2009-01-06,0.0,838.5
